"calBP","conMW"
700,0.893220510168172
800,0.738540549829858
900,0.820451867758222
1000,1.23551254376533
1100,0.581674619348856
1200,0.847015499665703
1300,1.3268518037066
1400,0.5606876877635
1500,0.853806316788679
1600,1.03122755000175
1700,0.730456687872671
1800,1.1599159071821
1900,0.798897813133099
2000,0.934515035024988
2100,1.16003704775177
2200,0.482017982017982
2300,1.56260892706852
2400,0.676456919818188
2500,0.567540739592081
2600,1.23302820988083
2700,0.780883206295583
2800,1.05576491732421
2900,0.21894992278844
3000,0.793210071753884
3100,1.2636755747517
3200,1.03670316717609
3300,0.821926373992872
3400,1.49312794374148
3500,0.822458443160644
3600,1.84279914546167
3700,1.20929102468179
3800,1.03167704037137
3900,1.49990141379828
4000,1.4222364415073
4100,1.55990167424954
4200,1.01532582570935
4300,0.770673518765122
4400,0.943082465067701
4500,0.548674027069655
4600,1.26393775791617
4700,0.499870340335259
4800,0.810433542207958
4900,0.99477252340826
5000,0.951741408759619
5100,1.15275475498306
5200,0.639615807097244
5300,0.899761805721528
5400,0.368898551672279
5500,0.828003679256124
5600,1.12448066192206
5700,0.295073963489949
5800,1.16990256964603
5900,1.27514455821616
6000,0.62603506884689
6100,0.716814483842835
6200,0.990221879735919
6300,0.513520132729932
6400,1.0969940009853
6500,0.869807665368743
6600,0.801196978015467
6700,1.10713201350807
6800,0.240683229813665
6900,1.12256256334213
7000,0.580598661754173
7100,0.64385705882967
7200,0.799534877072507
7300,0.695762241707323
7400,0.885922242948705
7500,0.497121842561576
7600,0.856226406354942
7700,0.996019119269427
7800,1.24466015971021
7900,0.772081087544798
8000,1.05938013262521
8100,1.35687841640744
8200,0.841426012862241
8300,1.22490841731864
8400,0.488687782805429
8500,0.602869856892315
8600,1.22600513551486
8700,1.19770223276411
8800,0.975152069725448
8900,0.657690306481397
9000,1.44381302958663
9100,1.48459228845917
9200,0.508948014162022
9300,1.03384816433127
9400,1.18416516340583
9500,0.632274561559464
9600,0.315073584265853
9700,0.961714679659301
