"calBP","araN"
1400,17
1500,21
1600,59
1700,26
1800,28
1900,24
2000,17
2100,15
2200,11
2300,12
2400,36
2500,15
2600,22
2700,13
2800,7
2900,19
3000,5
3100,14
3200,7
3300,15
3400,14
3500,13
3600,7
3700,10
3800,14
3900,13
4000,23
4100,14
4200,18
4300,9
4400,6
4500,10
4600,5
4700,19
4800,17
4900,17
5000,15
5100,12
5200,6
5300,16
5400,11
5500,22
5600,13
5700,11
5800,14
5900,8
6000,10
6100,18
6200,11
6300,11
6400,9
6500,6
6600,19
6700,4
6800,5
6900,7
7000,6
7100,24
7200,5
7300,19
7400,14
7500,10
7600,28
7700,4
7800,6
7900,13
8000,21
8100,10
8200,10
8300,13
8400,0
8500,16
8600,6
8700,11
8800,4
8900,15
9000,13
9100,9
9200,20
9300,13
9400,54
9500,95
9600,234
9700,88
