"calBP","heaN"
1400,236
1500,199
1600,580
1700,387
1800,277
1900,316
2000,286
2100,325
2200,116
2300,286
2400,464
2500,186
2600,364
2700,321
2800,243
2900,355
3000,169
3100,366
3200,221
3300,276
3400,261
3500,311
3600,252
3700,427
3800,369
3900,259
4000,213
4100,327
4200,282
4300,98
4400,349
4500,246
4600,176
4700,259
4800,327
4900,304
5000,238
5100,284
5200,147
5300,287
5400,267
5500,317
5600,284
5700,137
5800,342
5900,161
6000,244
6100,274
6200,148
6300,256
6400,209
6500,266
6600,163
6700,163
6800,161
6900,157
7000,139
7100,221
7200,73
7300,213
7400,163
7500,197
7600,405
7700,129
7800,406
7900,329
8000,289
8100,332
8200,266
8300,384
8400,135
8500,370
8600,148
8700,225
8800,110
8900,261
9000,196
9100,46
9200,311
9300,88
9400,92
9500,121
9600,84
9700,245
