"calBP","conN","decN","wetwN","wetmN","pasN","araN","heaN"
1400,1222,1457,131,160,162,17,236
1500,809,1533,111,164,151,21,199
1600,1784,2244,260,400,407,59,580
1700,1451,2499,209,211,220,26,387
1800,1209,1686,137,259,199,28,277
1900,1607,2488,163,296,212,24,316
2000,1960,2481,212,229,214,17,286
2100,1404,2045,152,248,175,15,325
2200,1224,1509,111,156,84,11,116
2300,1530,2053,194,215,178,12,286
2400,1451,2847,418,322,237,36,464
2500,1511,2372,165,212,189,15,186
2600,1701,2883,234,315,198,22,364
2700,831,2054,127,250,165,13,321
2800,1069,2089,207,168,158,7,243
2900,1794,2429,176,349,228,19,355
3000,1023,1945,154,147,103,5,169
3100,1093,2490,205,271,198,14,366
3200,1813,2557,193,204,136,7,221
3300,1096,1707,166,182,158,15,276
3400,1183,2108,131,164,130,14,261
3500,1675,2324,219,216,177,13,311
3600,1417,2403,173,195,148,7,252
3700,827,726,326,79,47,10,427
3800,1970,3101,296,255,225,14,369
3900,1014,1339,221,144,121,13,259
4000,1213,2155,195,110,130,23,213
4100,1894,1953,259,200,149,14,327
4200,1519,2647,230,238,167,18,282
4300,945,1390,154,85,67,9,98
4400,1311,1815,286,239,122,6,349
4500,1701,2000,188,147,112,10,246
4600,1892,1760,169,197,92,5,176
4700,977,1581,188,145,144,19,259
4800,1542,2517,224,176,180,17,327
4900,1791,2317,251,182,151,17,304
5000,1227,1823,292,121,102,15,238
5100,1517,1896,210,211,149,12,284
5200,1278,1435,252,98,70,6,147
5300,1766,2874,398,193,133,16,287
5400,1152,1749,233,211,129,11,267
5500,2195,2236,483,143,105,22,317
5600,1909,1907,350,230,147,13,284
5700,1641,1394,276,139,72,11,137
5800,2513,3033,584,333,217,14,342
5900,1483,1268,265,220,116,8,161
6000,1809,2500,698,150,96,10,244
6100,2421,2318,408,223,149,18,274
6200,1341,1941,279,113,54,11,148
6300,2673,2858,483,229,138,11,256
6400,1397,1578,248,151,70,9,209
6500,1791,2429,536,179,126,6,266
6600,1640,1670,257,124,129,19,163
6700,1425,1794,432,201,85,4,163
6800,1652,1973,453,148,92,5,161
6900,1458,1139,214,99,88,7,157
7000,1438,1539,425,154,89,6,139
7100,2770,2915,603,288,167,24,221
7200,1197,1251,200,70,65,5,73
7300,1547,1944,561,207,164,19,213
7400,2157,2146,536,131,104,14,163
7500,1438,2039,448,250,187,10,197
7600,2489,3974,732,250,254,28,405
7700,1057,1462,277,106,114,4,129
7800,1273,2282,550,170,140,6,406
7900,1559,3250,627,199,204,13,329
8000,1396,2172,423,124,216,21,289
8100,881,2397,347,150,208,10,332
8200,1341,2233,144,144,143,10,266
8300,1273,2801,188,179,298,13,384
8400,402,1331,87,46,74,0,135
8500,1147,3107,216,248,332,16,370
8600,1229,2529,115,98,143,6,148
8700,915,3166,148,159,293,11,225
8800,344,873,62,53,152,4,110
8900,742,3407,148,137,230,15,261
9000,766,3245,155,134,218,13,196
9100,350,867,151,72,68,9,46
9200,936,3999,149,170,335,20,311
9300,269,1190,26,66,152,13,88
9400,393,3052,95,108,101,54,92
9500,336,1284,32,59,141,95,121
9600,348,2275,147,101,172,234,84
9700,446,2283,109,129,180,88,245
