"calBP","conSE","decSE","wetwSE","wetmSE","pasSE","araSE","heaSE"
500,4565,2585,1965,254,696,831,881
600,5778,2916,3001,216,622,660,584
700,3349,2982,906,165,353,293,394
800,3275,2125,940,123,272,110,285
900,5670,2999,1453,150,370,305,207
1000,4813,3816,1060,198,267,46,225
1100,5055,3463,1190,347,471,59,867
1200,5567,3829,1222,389,600,116,2823
1300,5285,3074,1239,271,479,104,874
1400,3893,3138,2640,193,285,36,98
1500,4314,2350,1346,79,101,23,109
1600,3303,1302,746,68,64,17,52
1700,4504,2998,1099,45,78,30,114
1800,3002,2510,881,84,65,29,63
1900,2371,1734,866,72,76,29,63
2000,2147,1835,603,26,30,17,33
2100,2439,2793,1386,67,65,20,126
2200,4749,4869,2187,137,242,27,285
2300,3035,2371,988,22,33,14,149
2400,5318,3756,1044,72,75,25,323
2500,2832,2241,505,18,35,16,79
2600,3930,2562,1055,114,37,19,126
2700,4000,3158,806,56,61,28,107
2800,3256,2513,942,28,53,12,130
2900,2173,2370,585,98,61,14,77
3000,2927,3194,1102,50,77,15,82
3100,5001,3170,1629,69,103,15,93
3200,3946,3071,1028,93,107,16,30
3300,3168,3229,781,260,195,13,59
3400,3044,4125,1064,405,165,22,41
3500,1627,2746,754,30,92,17,112
3600,2133,3662,648,55,95,9,19
3700,2050,3911,957,85,81,16,36
3800,2088,3999,912,77,87,20,48
3900,2103,4264,982,95,97,23,61
4000,1311,2967,575,54,44,21,22
4100,1716,4062,989,48,71,13,46
4200,1954,5192,1604,150,92,22,40
4300,2260,4574,1047,95,79,15,43
4400,1245,4368,1612,83,51,24,52
4500,1386,3584,782,142,47,22,28
4600,1379,2326,509,41,29,9,64
4700,991,1775,396,414,109,4,12
4800,1139,2527,712,66,36,8,54
4900,539,1245,188,22,11,3,5
5000,695,2079,502,20,21,2,30
5100,502,1077,214,47,24,3,16
5200,841,2114,1521,31,25,7,23
5300,913,2481,586,18,141,10,39
5400,1391,2562,457,84,48,9,14
5500,630,1671,534,31,17,3,88
5600,826,1365,255,32,13,6,2
5700,934,2781,1158,30,65,7,33
5800,809,2691,407,20,41,6,34
5900,562,1000,505,42,24,5,20
6000,1403,3463,693,61,55,11,20
6100,1061,2080,327,50,43,7,30
6200,366,1577,416,12,36,4,44
6300,1123,2708,713,120,51,12,8
6400,1395,3407,625,44,44,7,22
6500,541,1855,372,66,27,7,44
6600,1569,3643,885,119,51,11,18
6700,1309,2681,641,32,100,6,32
6800,988,2957,624,54,50,11,79
6900,895,1748,293,22,43,3,31
7000,919,2584,451,29,51,4,6
7100,1433,3243,852,108,57,15,20
7200,793,2610,495,267,165,5,5
7300,1375,2897,612,81,73,20,8
7400,1389,1387,472,41,35,4,14
7500,1429,2086,576,35,46,8,8
7600,1147,2929,617,95,59,5,6
7700,2009,3357,740,70,138,8,30
7800,1225,1549,436,61,31,8,4
7900,1045,1010,452,17,11,4,2
8000,1659,2280,823,65,66,11,7
8100,1528,2518,502,83,34,11,10
8200,2016,3952,1023,44,158,11,11
8300,1628,2603,1105,110,98,14,23
8400,1461,2396,697,28,56,5,9
8500,1895,2763,813,155,75,15,18
8600,1638,2435,593,40,50,3,21
8700,2012,3330,930,90,516,7,26
8800,2401,3122,889,267,231,12,25
8900,1080,2215,624,34,62,4,8
9000,1703,2814,635,168,517,14,6
9100,1593,2595,675,568,104,11,32
9200,2651,2539,696,117,445,15,17
9300,2695,1837,556,146,215,7,11
9400,2479,2518,516,716,254,26,33
9500,1472,2033,338,732,268,33,35
9600,2250,2213,487,127,201,20,20
9700,720,1106,147,32,252,21,14
