"calBP","wetwSM"
1400,1299
1500,1507
1600,2191
1700,2364
1800,2986
1900,1084
2000,1107
2100,703
2200,2164
2300,1772
2400,1033
2500,782
2600,611
2700,1068
2800,774
2900,1245
3000,896
3100,1146
3200,1022
3300,1551
3400,103
3500,507
3600,1261
3700,1297
3900,1315
4000,1426
4100,587
4200,1261
4300,1054
4400,1477
4500,2242
4600,456
4700,3976
4800,425
4900,943
5000,8385
5100,587
5200,4687
5300,1273
5400,231
5500,1647
5600,1276
5700,944
5800,336
5900,1055
6000,1027
6100,1131
6200,843
6300,1934
6400,1376
6500,1432
6600,885
6700,809
6800,980
6900,527
7000,1154
7100,913
7200,1533
7300,1531
7400,1136
7500,912
7600,800
7700,770
7800,293
7900,906
8000,1415
8100,1041
8200,1013
8300,867
8400,1307
8500,625
8600,811
8700,1302
8800,1714
8900,1331
9000,1318
9100,995
9200,698
9300,273
9400,760
9500,562
9600,248
9700,194
