"calBP","pasSM"
1400,0.312110063554545
1500,0.543059461774254
1600,0.494410325228944
1700,0.256677851925362
1800,0.453470185927282
1900,0.186146461876029
2000,0.230658750815735
2100,0.177382465057179
2200,0.407558562639515
2300,0.362824749737354
2400,0.200820211760687
2500,0.24460456235796
2600,0.164790174002047
2700,0.213885978593454
2800,0.210246058588279
2900,0.259855311386103
3000,0.17702587253128
3100,0.21446645847776
3200,0.165484491266491
3300,0.172583111444077
3400,0.0446428571428572
3500,0.00466853408029878
3600,0.140780327091359
3700,0.153731626858655
3900,0.139641149628355
4000,0.165901652424687
4100,0.00570032573289902
4200,0.120035475556633
4300,0.0742143450816542
4400,0.0255360743249666
4500,0.0720655490683413
4600,0.0261578496558256
4700,0.0494861680957719
4800,0.0242381291482932
4900,0.00611280324527698
5000,0.0722973960078839
5100,0.0437428680106504
5200,0.073846901948892
5300,0.0650887928346723
5400,0.0125156445556946
5500,0.0984696242606296
5600,0.068268369339178
5700,0.0634326716995618
5800,0.00763358778625954
5900,0.0574309336559791
6000,0.000598086124401914
6100,0.0704699641543243
6200,0.0237730210009695
6300,0.0753508549114296
6400,0.0353734095907816
6500,0.0818447434117457
6600,0.0343378881470851
6700,0.0577932429485589
6800,0.0413166427362872
6900,0.093656844624535
7000,0.043678663005741
7100,0.0854567007264846
7200,0.13874834740333
7300,0.116489140883958
7400,0.0720632299704501
7500,0.0737887267081401
7600,0.032503263419919
7700,0.0349994661213944
7800,0.0165830365775757
7900,0.118394023240756
8000,0.275540981688181
8100,0.0799674740079828
8200,0.0791698639470367
8300,0.083456420282657
8400,0.130946810818671
8500,0.113086351910129
8600,0.097845504647105
8700,0.131143858033774
8800,0.128110160797341
8900,0.17480252270609
9000,0.109677900321438
9100,0.276015656811698
9200,0.159511970330757
9300,0.331450994564589
9400,0.307863650874751
9500,0.120161410265442
9600,0.109677419354839
9700,0.159166183863014
