"calBP","SPD_med"
9700,0.0105934763175662
9600,0.0167567732359407
9500,0.018348647434327
9400,0.0027850155117682
9300,0.00575746488604722
9200,0.00184977518155089
9100,0.00201540226768882
9000,0.0168851536862363
8900,0.00860750970558078
8800,0.00834711826251425
8700,0.00749268750629348
8600,0.00465416633017887
8500,0.00129434179406653
8400,0.00425102362309887
8300,0.0138359486548612
8200,0.00651147973739423
8100,0.0141753400277811
8000,0.0143366473911817
7900,0.0203518724934328
7800,0.0165915700540482
7700,0.0171308291103068
7600,0.0154044208225374
7500,0.00248321486973078
7400,0.00459033914724511
7300,0.016856181724255
7200,0.0341071632060163
7100,0.0343895253490219
7000,0.0340345265934565
6900,0.0332042395943713
6800,0.0262530140757876
6700,0.0273852008963226
6600,0.0300932915978006
6500,0.0300525740113597
6400,0.0269849047895447
6300,0.0232876918212565
6200,0.0213676916379238
6100,0.0277642824268406
6000,0.0274202204744091
5900,0.0263790401605595
5800,0.031959847379011
5700,0.0361373179987814
5600,0.0708041130485245
5500,0.0389990648396802
5400,0.0398549595570706
5300,0.0398993266385422
5200,0.0218917182765366
5100,0.0242787858882195
5000,0.0231885119416053
4900,0.0218243219824342
4800,0.0198660219166972
4700,0.0218745818516286
4600,0.0249376651420203
4500,0.0293821624200462
4400,0.0264595927442744
4300,0.0129623964559595
4200,0.0119842586456961
4100,0.0254055833052016
4000,0.0190977044900407
3900,0.0276060452592244
3800,0.0284488075846838
3700,0.0475812682402387
3600,0.0654176657336204
3500,0.0697517571285697
3400,0.0517394186898499
3300,0.0779694236931556
3200,0.0806373836025928
3100,0.0540874956485765
3000,0.0524851839256708
2900,0.0505640628394069
2800,0.04464340903549
2700,0.0561903978569016
2600,0.0503482981801137
2500,0.0454783133867684
2400,0.0750871901190467
2300,0.11877291568107
2200,0.132116786995105
2100,0.128463840257566
2000,0.111238279988542
1900,0.10352741115743
1800,0.147729895084431
1700,0.214449480266609
1600,0.243516251547699
1500,0.234364632536553
1400,0.179701685685175
1300,0.101451081204053
1200,0.108175723992644
1100,0.112556720927161
1000,0.163480908040558
900,0.220864993360233
800,0.276337594499636
700,0.351820213709026
