"","name","mean","lower","upper","Rhat","n.eff","BF","ID"
"7","cp_1",2395.68249749355,1400.00962625723,2977.43428283353,1.16974456734743,240,2.5457468759743,"wetmMMs"
"8","cp_2",3759.65967714494,3660.96017786106,4199.98869887544,1.25709749527256,289,37.6092315465046,"wetmMMs"
"9","cp_3",4361.87849627338,4000.09195541848,5699.99900647276,1.13923250801759,87,0.0810824176365748,"wetmMMs"
"10","cp_4",5868.71592232318,5500.00061051154,7480.53228860828,1.16500805829036,217,2.40593803408814,"wetmMMs"
"11","cp_5",7541.61314618552,7300.03945816541,8020.60742963456,1.13190655290422,6816,18.445497172781,"wetmMMs"
"71","cp_1",2065.09779655782,1300.14869874662,2816.3424365945,2.6568206619822,2313,0.759696136799084,"pasMMs"
"81","cp_2",2855.70003326709,1900.01161512315,4108.36110367245,2.01824102347133,249,0.414557051180295,"pasMMs"
"91","cp_3",4349.43172542995,2400.0018383972,7964.34986939248,1.77485960044214,698,0.730657786779531,"pasMMs"
"101","cp_4",6220.00176726301,3900.00747204096,8366.79839380279,2.67258566744868,9082,0.148588697374804,"pasMMs"
"111","cp_5",8175.99966950054,7823.76702125248,8600.22789226027,1.65506460043227,16505,0.616689875156379,"pasMMs"
"72","cp_1",799.066500026429,709.725768554557,899.23637957697,1.00036424299986,1729,14.0857634368828,"araMMs"
"82","cp_2",1897.24092663204,1700.12060656559,2004.23635685108,1.00004812003752,35105,19.6563290145991,"araMMs"
"92","cp_3",3770.59760008422,3700.00520244842,3876.03608257929,1.00067895603526,17210,39.8348183238322,"araMMs"
"102","cp_4",5058.24671263582,4999.99520618068,5153.63003635315,1.00009664096343,38784,55.7573970794698,"araMMs"
"112","cp_5",5949.01363775718,5900.51516572068,5995.8507856526,1.00008738860583,77783,69.0522183515366,"araMMs"
"73","cp_1",1364.84646821853,800.002559896022,2289.88776884866,2.13949391913613,3680,0.842290098815744,"heaMMs"
"83","cp_2",2702.55596166149,1399.98271298426,6883.11912249918,1.15844534624735,223,0.0454888901007664,"heaMMs"
"93","cp_3",5937.56433972899,3488.70825841191,8000.37522158847,1.20768502971636,316,4.49805122821337,"heaMMs"
"103","cp_4",7546.80293510339,5683.29945050233,8542.77847363091,1.24771300760342,332,0.490095450491395,"heaMMs"
"113","cp_5",8264.72213289051,7899.95283157735,8695.40341509045,1.10076247901451,229,1.23741897353311,"heaMMs"
